os_name,average_bitrate,average_bitrate
Windows,3167.0,1
Windows,3175.0,1
Windows,3250.0,2
Windows,3333.0,1
Windows,3400.0,1
Windows,3433.0,1
Windows,3500.0,1
Windows,4248.0,1
Windows,4450.0,1
Windows,4600.0,1
Windows,4800.0,4
Windows,5106.0,1
Windows,5149.0,1
Windows,5469.0,1
Windows,6433.0,1
Windows,7626.0,1
Windows,7813.0,1
Windows,9337.0,1
Windows,14659.0,1
Windows,15038.0,1
Windows,15819.0,1
Windows,16291.0,1
Windows,16523.0,1
Windows,16926.0,1
Windows,19875.0,1
Windows,21656.0,1
Windows,22591.0,1
Windows,24295.0,1
Windows,26163.0,1
Windows,28473.0,1
Windows,30416.0,1
Windows,31552.0,1
Windows,33649.0,1
Windows,34119.0,1
Windows,38655.0,1
Windows,40768.0,1
Windows,41675.0,1
Windows,42212.0,1
Windows,46949.0,1
Windows,49091.0,1
Windows,51000.0,1
Windows,51100.0,1
Windows,62027.0,1
Windows,72285.0,1
Windows,72652.0,1
Windows,75900.0,1
Windows,79295.0,1
Windows,87960.0,1
Windows,109353.0,1
Windows,113250.0,1
Windows,115856.0,1
Windows,134781.0,1
Windows,139668.0,1
Windows,167838.0,1
Windows,171943.0,1
Windows,174189.0,1
Windows,180480.0,1
Windows,189333.0,1
Windows,195200.0,1
Windows,198012.0,1
Windows,222083.0,1
Windows,295061.0,1
Windows,300000.0,2886
Windows Phone,300000.0,8
iOS,400.0,6
iOS,500.0,2
iOS,600.0,61
iOS,300000.0,22999
